City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,lan sak,15.4529,99.5761,24.0,58,8,1.42,TH,1704643501
269,ust'-kut,56.7938,105.7672,-14.62,92,100,3.61,RU,1704643490
270,bamboo flat,11.7,92.7167,26.58,72,14,4.52,IN,1704643502
271,goundam,16.4145,-3.6708,33.18,7,99,4.3,ML,1704643502
272,suva,-18.1416,178.4415,23.71,100,40,0.51,FJ,1704643503
273,mazagao,-0.115,-51.2894,25.96,88,100,1.43,BR,1704643503
274,lansdowne,39.9382,-75.2719,3.67,95,100,3.06,US,1704643503
275,aioun,16.6614,-9.6149,32.64,7,0,3.53,MR,1704643504
276,nouadhibou,20.931,-17.0347,31.99,12,1,1.54,MR,1704643504
277,kondagaon,19.6,81.6667,17.59,49,1,2.47,IN,1704643504
278,sao felix do xingu,-6.6447,-51.995,23.96,96,100,1.0,BR,1704643505
279,nuuk,64.1835,-51.7216,-3.66,80,100,11.83,GL,1704643505
280,lihue,21.9789,-159.3672,19.64,82,19,0.4,US,1704643252
281,kourou,5.1552,-52.6478,30.03,60,100,3.92,GF,1704643222
282,bogale,16.2833,95.4,23.19,64,11,1.88,MM,1704643506
283,laojunmiao,39.8333,97.7333,-4.26,30,98,1.22,CN,1704643507
284,port saint john's,-31.6229,29.5448,22.57,89,100,3.34,ZA,1704643507
285,nansio,-2.1333,33.05,24.66,62,100,1.14,TZ,1704643507
286,pandan,14.0453,124.1694,25.83,87,93,7.15,PH,1704643508
287,touros,-5.1989,-35.4608,30.84,59,8,5.4,BR,1704643362
288,constantia,44.1833,28.65,9.38,91,63,8.19,RO,1704643508
289,ko pha ngan,9.7578,100.0291,26.38,66,98,2.22,TH,1704643508
290,lebu,-37.6167,-73.65,17.46,73,29,4.38,CL,1704643509
291,usinsk,65.9939,57.5281,-28.29,100,100,2.68,RU,1704643509
292,martuk,50.7475,56.5056,-8.86,92,100,6.2,KZ,1704643510
293,wad rawah,15.1603,33.1397,27.96,20,26,2.66,SD,1704643510
294,obertraubling,48.9713,12.175,-0.17,86,100,0.89,DE,1704643511
295,hilo,19.7297,-155.09,19.51,99,16,0.45,US,1704643274
296,huarmey,-10.0681,-78.1522,24.8,76,67,4.55,PE,1704643511
297,xining,36.6167,101.7667,-3.05,29,7,0.7,CN,1704643511
298,dundee,56.5,-2.9667,3.66,90,20,1.54,GB,1704643512
299,nushki,29.5542,66.0215,14.21,58,70,2.83,PK,1704643512
300,bodaybo,57.8506,114.1933,-15.87,99,100,0.25,RU,1704643513
301,vilyuysk,63.7553,121.6247,-36.67,95,100,2.68,RU,1704643513
302,talnakh,69.4865,88.3972,-19.89,98,100,4.34,RU,1704643513
303,seoni,22.0833,79.5333,18.33,70,22,3.11,IN,1704643513
304,berezhani,49.45,24.9333,-5.88,94,100,6.83,UA,1704643514
305,page,36.9147,-111.4558,-0.12,92,100,2.24,US,1704643514
306,naryshkino,52.9678,35.7268,-17.12,95,74,4.17,RU,1704643514
307,hedemora,60.2797,15.9886,-14.8,94,25,1.31,SE,1704643514
308,buulobarde,3.8538,45.5674,29.49,24,85,4.51,SO,1704643515
309,tofol,5.3248,163.0078,27.82,78,95,9.53,FM,1704643515
310,chokwe,-24.5333,32.9833,32.19,43,1,5.01,MZ,1704643515
311,kota kinabalu,5.9749,116.0724,25.99,94,20,2.24,MY,1704643516
312,saguenay,48.4168,-71.0657,-9.95,79,100,8.23,CA,1704643218
313,rosa zarate,0.3333,-79.4667,26.83,84,100,1.04,EC,1704643516
314,puerto baquerizo moreno,-0.9,-89.6,24.55,88,75,6.69,EC,1704643517
315,bardai,11.65,7.2333,30.75,8,0,4.66,NG,1704643517
316,sur,22.5667,59.5289,22.98,61,60,2.75,OM,1704643517
317,aripuana,-9.1667,-60.6333,29.24,72,96,1.42,BR,1704643518
318,margate,51.3813,1.3862,4.94,75,100,3.13,GB,1704643380
319,saipan,15.1355,145.701,26.39,89,40,4.63,MP,1704643519
320,saudarkrokur,65.7461,-19.6394,4.96,82,100,7.75,IS,1704643519
321,san antonio,29.4241,-98.4936,13.83,68,0,4.12,US,1704643499
322,wuchang,44.9143,127.15,-23.42,98,22,2.93,CN,1704643519
323,island harbour,50.724,-1.2758,5.68,73,9,3.58,GB,1704643520
324,kruisfontein,-34.0033,24.7314,19.94,86,100,6.26,ZA,1704643520
325,ngerengere,-6.75,38.1167,23.08,98,100,0.75,TZ,1704643520
326,bengkulu,-3.8004,102.2655,25.34,85,100,0.96,ID,1704643521
327,ugoofaaru,5.6667,73.0,27.95,74,32,2.1,MV,1704643521
